toolType,toolType,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
Web application,!,toolType vocab: ?,,,
Internet > WWW/HTTP > WSGI > Application,!,,,,
Text Processing > Linguistic,Text processing,,,,
Religion,!,,,,
Scientific/Engineering > Information Analysis,Information analysis,,,,
Sociology > History,!,,,,
Software Development,!,,,,
Software portal,!,,,,
Text Processing,Text processing,,,,
Text Processing > Fonts,Text processing,,,,
Text Processing > Markup,Text processing,,,,
ttps://vocabs.dariah.eu/tadirah/disseminating,!,,,,
